食谱_url,食物,成分,食谱名称,img_url,category,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705346/,猪肉，白菜,"{'Pork':300.0,'Chinese cabbage':1000.0}",猪肉白菜,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705648/,猪肉，土豆，白萝卜，胡萝卜,"{'Pork': 80.0, 'potato':200.0,'White radish':159,'carrot':80.0}",猪肉汤,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/701794/,土豆，洋葱，白菜，西红柿，胡萝卜,"{'potato':200.0,'onion':100.0,'Chinese cabbage':400.0,'tomato':200.0,'carrot':150}",蔬菜汤,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/703024/,鸡肉，洋葱，蛋,"{'chicken':100,'onion':50,'egg':100}",流鸡蛋,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/800270/,青椒，金枪鱼罐头,"{'green pepper':175,'Canned tuna':70}",青椒金枪鱼,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706807/,猪肉，白菜，洋葱，胡萝卜，豆芽，韭菜,"{'pork':100,'cabbage':100,'onion':20,'carrot':50,'Bean sprouts':30,'leek/Chives':50}",白菜胡萝卜洋葱炒猪肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705646/,猪肉，蛋，卷心菜，面包屑,"{'pork':200,'onion':100,'cabbage':200,'crumbs/Breadcrumbs':50}",卷心菜卷,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705645/,牛肉，洋葱，胡萝卜，土豆,"{'Beef':150,'onion':200,'carrot':150,'potato':450}",土豆炖牛肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705936/,面条，猪肉，洋葱，蘑菇，白菜，胡萝卜,"{'Noodles':500,'Pork':100,'onion':20,'mushroom':50,'cabbage':150,'carrot':20}",炒面,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/709084/,白菜，牛肉,"{'Beef':200,'cabbage':500}",大白菜牛肉寿喜烧风格,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706027/,牛肉，萝卜,"{'Beef':200,'White radish':600}",萝卜牛肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706985/,鸡肉，西红柿，洋葱，土豆，蘑菇，菠菜,"{'chicken':600,'tomato':600,'onion':100,'potato':300,'mushroom':100,'spinach':100}",番茄锅,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705931/,西葫芦，茄子，芹菜，洋葱，西红柿,"{'courgette/Zucchini':300,'eggplant':600,'celery':30,'onion':100,'tomato':400}",茄子西红柿西葫芦,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/800910/,生菜，鸡蛋,"{'lettuce':120,'egg':200}",生菜鸡蛋汤,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/pork-liver-stir-fry/,生姜，蒜，猪肝,"{'pork liver':340,'Minced garlic':60,'ginger':5}",炒猪肝,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/pan-fried-tofu/,豆腐，洋葱，蛋,"{'bean curd/Tofu':396,'onion':60,'egg':25}",脆皮豆腐,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/vegetable-fried-rice/,蒜，鸡蛋，洋葱，豌豆，甜玉米，胡萝卜，大米,"{'Minced garlic':20,'onion':60,'egg':75,'pea':10,'corn':10,'carrot':10,'rice':300}",蔬菜炒饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/yang-zhou-fried-rice/,虾，洋葱，火腿，鸡蛋，大米，豌豆,"{'shrimp':225,'ham':110,'onion':200,'egg':50,'rice':400,'pea':200}",扬州炒饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/beef-with-oyster-sauce/,牛肉，洋葱，生姜，蒜,"{'beef':450,'onion':40,'Minced garlic':10,'ginger':10}",蚝油牛肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/green-bean-noodles/,面条，猪肉，青豆，洋葱,"{'noodles':340,'pork':280,'green beans':450,'onion':60}",豆角焖面,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chicken-with-black-bean-sauce,鸡肉,{'chicken':280},豉汁爆鸡球,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/singapore-noodles/,猪肉，米粉，胡萝卜，虾，蛋，蒜，生姜,"{'pork':225,'rice noodles':200,'carrot':100,'shrimp':200,'egg':50,'Minced garlic':5,'ginger':5}",星洲炒米粉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/cumin-lamb/,羊肉，洋葱，蒜，生姜，辣椒面,"{'lamb/Mutton':450,'onion':40,'Minced garlic':5,'ginger':5,'paprika powder':5}",孜然羊肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/da-pan-ji/,鸡肉，生姜，蒜，辣椒，啤酒，土豆，洋葱，面条,"{'chicken':1000,'ginger':20,'Minced garlic':20,'chili pepper':20,'beer':300,'potato':1000,'onion':200,'noodles':660}",大盘鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chicken-noodle-salad-with-garlicky-nutty-and-spciy-sauce/,鸡肉，面条，黄瓜，洋葱，芝麻,"{'chicken':450,'noodles':400,'cucumber':100,'onion':60,'sesame':30}",鸡丝凉面,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/bean-sprout-salad/,豆芽，辣椒，洋葱，蒜,"{'bean sprouts':340,'chili pepper':10,'onion':20,'Minced garlic':10}",凉拌豆芽,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/authentic-mapo-tofu/,猪肉，豆腐，辣椒，洋葱,"{'pork':120,'bean curd/Tofu':450,'chili pepper':10,'onion':40}",麻婆豆腐,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/shui-zhu-yu-boiled-fish/,鱼，辣椒，豆芽,"{'fish':1300,'chili pepper':40,'bean sprouts':200}",水煮鱼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/moms-best-braised-chicken-with-mushrooms,鸡肉，干蘑菇,"{'chicken':1400,'dried mushroom':35}",小鸡炖蘑菇,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/slow-roast-duck,鸭肉，橙子，柠檬，葡萄酒，土豆,"{'Duck meat':2500,'orange':200,'lemon':200,'wine':50,'potato':200}",油封鸭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/instant-pot-congee/,鸡肉，菠菜，大米,"{'chicken':680,'spinach':400,'rice':400}",鸡肉菠菜粥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/salmon-with-ginger-soy-sauce,鲑鱼，生姜,"{'salmon':225,'ginger':30}",姜油三文鱼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/cashew-chicken/,腰果，鸡肉，青椒,"{'cashew':25,'chicken':450,'green pepper':40}",腰果鸡丁,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-eggplant-with-garlic-sauce,茄子，蒜，生姜,"{'eggplant':300,'Minced garlic':40,""ginger':20}",红烧茄子,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/di-san-xian-recipe/,茄子，青椒，土豆,"{'eggplant':300,'potato':200,'green pepper':40}",地三鲜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/napa-cabbage-soup,培根，对虾，扇贝，鸡肉，猪肉，白菜，白萝卜，蛋，豆腐,"{'bacon':20,'prawn':25,'scallops':25,'chicken':230,'pork':230,'Chinese cabbage':100,'White radish':100,'egg':25,'bean curd/Tofu':400}",全家福乱炖,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/easy-chinese-cucumber-salad,黄瓜，蒜,"{'cucumber':300,'Minced garlic':20}",拍黄瓜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/kung-pao-chicken/,鸡肉，花生，青椒，洋葱,"{'chicken':450,'peanut':50,'green pepper':50,'onion':120}",宫保鸡丁,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-scallion-pancakes/,面粉,{'flour':350},葱油饼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-chive-pockets/,韭菜，面粉,"{'leek/Chives':225,'flour':300}",韭菜盒子,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/sliced-tofu-salad/,豆腐，胡萝卜，黄瓜,"{'bean curd/Tofu':200,'carrot':50,'cucumber':100}",凉拌腐皮,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/celtuce-leaves-salad/,莴苣，芝麻,"{'Romaine lettuce':200,'sesame':20}",凉拌莴笋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/yellow-chives-eggs/,韭菜，蛋,"{'leek/Chives':400,'egg':200}",韭黄炒鸡蛋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/grilled-eggplant-with-yu-xiang-sauce/,茄子，辣椒面，蒜,"{'eggplant':400,'paprika powder':5,'Minced garlic':10}",鱼香茄子,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/spicy-cauliflower-stir-fry,菜花，辣椒，洋葱，蒜,"{'cauliflower':500,'chili pepper':5,'onion':20,'Minced garlic':10}",干锅花菜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/stir-fried-baby-bok-choy-gluten-balls/,油菜，面粉,"{'rapeseed':450,'flour':50}",油菜炒面筋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/four-ingredient-okra-stir-fry,秋葵，辣椒,"{'okra':200,'chili pepper':5}",炒秋葵,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/broccoli-and-mushroom-stir-fry/,西兰花，蘑菇,"{'broccoli':450, 'mushroom':225}",蘑菇西兰花,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/braised-coca-cola-chicken-wings/,鸡肉,{'chicken':450},可乐鸡翅,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-corn-soup/,鸡肉，蛋，玉米,"{'chicken':225,'egg':150,'corn':150}",鸡蛋玉米羹,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/pork-liver-soup/,猪肝，菠菜,"{'pork liver':225,'spinach':150}",猪肝菠菜汤,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-tomato-beef-soup/,番茄，牛肉，蘑菇,"{'tomato':450,'beef':340,'mushroom':200}",番茄肥牛汤,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/sweet-and-sour-pork-ribs,猪肉,{'pork':750},糖醋排骨,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/braised-chestnut-chicken/,干蘑菇，板栗，鸡肉,"{'dried mushroom':20,'chestnut':60,'chicken':680}",板栗炖鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-fish-soup/,香菇，鱼，竹笋，蛋,"{'shiitake mushroom':20,'fish':170,'bamboo shoot':100,'egg':50}",宋嫂鱼羹,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/air-fryer-garlic-ribs/,猪肉，蒜，洋葱,"{'pork':680,'Minced garlic':20,'onion':40}",蒜香排骨,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/beer-duck/,啤酒，鸭肉，洋葱,"{'beer':640,'Duck meat':1000,'onion':160}",啤酒鸭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-beef-stew/,土豆，牛肉，胡萝卜,"{'potato':120,'beef':1300,'carrot':100}",土豆炖牛肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/classic-tomato-and-egg-stir-fry,西红柿，蛋,"{'tomato':500,'egg':200}",西红柿炒鸡蛋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/dried-tofu-and-celery-stir-fry/,芹菜，豆腐，猪肉,"{'celery':240,'bean curd/Tofu':100,'pork':100}",西芹炒香干,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/moo-goo-gai-pan/,鸡肉，双孢蘑菇，竹笋，荷兰豆，胡萝卜,"{'chicken':225,'portabello mushroom':225,'bamboo shoot':50,'snow peas':50,'carrot':100}",芙蓉鸡片,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chongqing-noodles/,猪肉，面条，白菜，花生,"{'pork':225,'noodles':300,'Chinese cabbage':200,'peanut':20}",小面,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/beef-and-flat-bean-stir-fry/,扁豆，牛肉,"{'lentil':300, 'beef':300}",扁豆炒牛肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/szechuan-dry-fried-green-beans/,青豆，猪肉,"{'Green beans':450, 'pork':115}",干煸四季豆,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/lotus-root-stir-fry/,藕，荷兰豆，蘑菇，胡萝卜,"{'lotus root':200,'snow peas':50,'mushroom':100,'carrot':60}",荷塘月色,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/tofu-lettuce-wraps/,香菇，豆腐，生菜,"{'shiitake mushroom':40,'bean curd/Tofu':100,'lettuce':240}",菜包豆腐,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/salt-and-pepper-squid/,鱿鱼,{'squid':750},椒盐鱿鱼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/seafood-congee,虾，扇贝，大米,"{'shrimp':100,'scallops':50,'rice':100}",海鲜粥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/vinaigrette-cabbage-stir-fry,卷心菜，辣椒,"{'cabbage':450,'chili pepper':20}",酸辣包菜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/king-oyster-mushroom-stir-fry/,蘑菇，青椒,"{'mushroom':450,'green pepper':100}",手撕杏鲍菇,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/red-braised-lamb/,羊肉,{'lamb/Mutton':900},红烧羊肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/salmon-fried-rice/,三文鱼，大米，豌豆，甜玉米，蛋,"{'salmon':225,'rice':200,'pea':75,'corn':75,'egg':75}",三文鱼炒饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/pineapple-cake/,菠萝，面粉，蛋，牛奶,"{'pineapple':700,'flour':230,'egg':50,'milk':25}",凤梨酥,,高脂，高热量，含乳制品,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-zucchini-pancakes/,西葫芦，面粉，蛋,"{'courgette/Zucchini':300,'flour':75,'egg':50}",糊塌子,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-walnut-cookies/,核桃，面粉，黄油，蛋,"{'walnut':150,'flour':280,'butter':175,'egg':75}",核桃酥,,高脂，高热量，含乳制品,,,,,,,,,,,,,,
https://omnivorescookbook.com/crab-roe-tofu/,螃蟹，豆腐，豌豆,"{'crab':25,'bean curd/Tofu':120,'pea':50}",蟹黄豆腐,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/instant-pot-chinese-sausage-rice/,香菇，香肠，大米,"{'shiitake mushroom':50,'sausage':200,'rice':250}",腊味饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/coconut-buns/,椰子，黄油，面粉，蛋，牛奶,"{'coconut':40,'butter':146,'flour':438,'egg':25,'milk':260}",椰蓉包,,高脂，高热量，含乳制品,,,,,,,,,,,,,,
https://omnivorescookbook.com/beef-with-bitter-melon/,苦瓜，牛肉,"{'bitter melon':200,'beef':225}",苦瓜炒牛肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/winter-melon-stir-fry/,冬瓜，虾，青椒，胡萝卜,"{'winter melon':680,'shrimp':10,'green pepper':40,'carrot':112}",虾皮炒冬瓜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/celtuce-stir-fry-with-eggs/,莴苣，蛋,"{'Romaine lettuce':150,'egg':50}",莴笋炒鸡蛋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/eight-treasure-rice/,大米，红豆，葡萄干，瓜子,"{'rice':360,'Red beans':20,'raisins':5,'melonseed':5}",八宝饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/strawberry-thumbprint-cookies/,草莓，黄油，面粉，蛋,"{'strawberry':225,'butter':115,'flour':200,'egg':25}",草莓酥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-almond-cookies/,杏仁，黄油，面粉，蛋,"{'almond':100,'butter':115,'flour':120,'egg':25}",杏仁酥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/vegetables-egg-and-ham-fried-rice/,菠萝，大米，蛋，青椒，火腿,"{'pineapple':25,'rice':150,'egg':75,'green pepper':25,'ham':50}",菠萝饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chicken-sweet-potato-stew/,红薯，鸡肉，芋头，奶油，西兰花,"{'sweet potato':225,'chicken':450,'taro':225,'cream':340,'broccoli':50}",红薯烧鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/korean-fire-chicken/,鸡肉，奶酪,"{'chicken':450,'cheese':225}",春川芝士鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/roasted-kabocha-squash-soup/,南瓜,{'pumpkin':1000},南瓜汤,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/cantonese-ground-beef-rice-eggs/,牛肉，蛋，豌豆，大米,"{'beef':450,'egg':125,'pea':75,'rice':300}",窝蛋牛丼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-seaweed-salad/,海带，蒜，生姜,"{'kelp':120,'Minced garlic':12,'ginger':5}",凉拌海带丝,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/eight-treasure-congee/,大米，薏米，红豆，腰果，核桃，葡萄干,"{'rice':120,'barley':20,'red beans':10,'cashew':15,'walnut':15,'raisins':10}",八宝粥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/ground-beef-stir-fry-with-celery/,牛肉，麦片，洋葱，胡萝卜,"{'beef':450,'celery':200,'onion':20,'carrot':100}",牛肉麦饭,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/crispy-chinese-honey-chicken/,蜂蜜，鸡肉，蛋，洋葱,"{'honey':10,'chicken':490,'egg':25,'onion':120}",蜜汁扒鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/mango-sago/,芒果，牛奶，椰子，柚子,"{'mango':1000,'milk':176,'coconut':220,'grapefruit':250}",杨枝甘露,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/chinese-banana-fritters/,香蕉，面粉，黄油，牛奶,"{'banana':500,'flour':25,'milk':25,'butter':20}",炸香蕉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/african-chicken,鸡肉，洋葱，辣椒面，椰子，花生酱，土豆，青椒,"{'chicken':1000,'onion':60,'paprika powder':5,'coconut':270,'peanut butter':15,'potato':400,'green pepper':80}",非洲鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/braised-daikon/,白萝卜，猪肉,"{'white radish':700,'chicken':450}",萝卜烧肉,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/hoisin-roasted-asparagus/,芦笋,{'asparagus':450},鱼香芦笋,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/steamed-mussels-ginger-oyster-sauce,贻贝，生姜，洋葱，芦笋,"{'mussel':1000,'ginger':30,'onion':40,'asparagus':40}",姜汁淡菜,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/almond-cake-with-dates,大米，杏仁，椰枣，蛋，黄油,"{'rice':60,'almond':100,'date':30,'egg':100,'butter':60}",杏仁糕,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/millet-porridge,小米,{'millet':120},小米粥,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/recipes/avocado-milkshake,牛油果，牛奶,"{'avocado':60,'milk':100}",牛油果奶昔,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/suan-cai-yu,鲶鱼，酸菜，洋葱,"{'catfish':450,'pickle':300,'onion':120}",酸菜鱼,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/instant-pot-shredded-chicken-lettuce-wrap/,鸡肉,{'chicken':900},手撕鸡,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/crispy-sesame-tofu/,豆腐，芝麻，洋葱,"{'bean curd/Tofu':450,'sesame':10,'onion':60}",芝麻豆腐,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/vegetable-stew,猪肉，大茴香，茄子，土豆，青豆，玉米，胡萝卜，西红柿,"{'pork':450,'anise':10,'eggplant':300,'potato':225,'green beans':225,'carrot':225,'corn':100,'tomato':100}",东北乱炖,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/pork-and-corn-soup/,猪肉，玉米，胡萝卜,"{'pork':450,'corn':100,'carrot':100}",玉米排骨汤,,,,,,,,,,,,,,,,
https://omnivorescookbook.com/roast-lamb-shank/,羊肉，生姜，洋葱,"{'lamb/Mutton':500,'ginger':40,'onion':40}",烤羊腿,,,,,,,,,,,,,,,,